Year	 Month	 NumDeer	 NumPrecip	 NewHeight	 Temperature	 CurrHeight	 NumMonster
2016	 0	  1	 0.000000	  0.500000	 -17.777779	  1.000000	  0 
2016	 1	  0	 9.820172	  7.450461	 5.923123	  0.500000	  0 
2016	 2	  1	 12.989315	  9.887059	 10.269779	  7.450461	  0 
2016	 3	  2	 10.585760	  9.420300	 17.449627	  9.887059	  0 
2016	 4	  3	 11.315559	  8.522210	 16.025885	  9.420300	  0 
2016	 5	  4	 7.768795	  7.037857	 18.263342	  8.522210	  0 
2016	 6	  5	 4.962569	  5.039350	 20.481369	  7.037857	  0 
2016	 7	  6	 1.810963	  2.580647	 16.354347	  5.039350	  0 
2016	 8	  5	 1.869225	  0.000000	 17.900543	  2.580647	  0 
2016	 9	  4	 1.073633	  0.000000	 8.632141	  0.000000	  0 
2016	 10	  3	 2.185234	  0.000000	 -1.838934	  0.000000	  1 
2016	 11	  2	 3.418634	  0.000000	 -6.106948	  0.000000	  1 
2017	 0	  1	 8.769621	  0.000000	 -4.763268	  0.000000	  0 
2017	 1	  0	 9.846418	  1.880531	 -1.671418	  0.000000	  0 
2017	 2	  1	 10.230790	  9.361149	 3.010794	  1.880531	  0 
2017	 3	  2	 10.668583	  8.875375	 18.419373	  9.361149	  0 
2017	 4	  3	 11.599090	  7.895615	 18.000437	  8.875375	  0 
2017	 5	  4	 6.737041	  6.395952	 21.984066	  7.895615	  0 
2017	 6	  5	 4.544234	  4.396155	 22.260870	  6.395952	  0 
2017	 7	  4	 3.648460	  1.912884	 17.785440	  4.396155	  0 
2017	 8	  3	 1.289876	  1.023477	 10.570399	  1.912884	  0 
2017	 9	  2	 1.284100	  2.331933	 7.421400	  1.023477	  0 
2017	 10	  3	 3.323476	  4.846744	 1.034690	  2.331933	  0 
2017	 11	  4	 3.856920	  4.197385	 -3.140124	  4.846744	  1 
2018	 0	  5	 9.229020	  9.392389	 2.686653	  4.197385	  1 
2018	 1	  6	 12.039948	  8.403673	 -2.637239	  9.392389	  1 
2018	 2	  7	 10.139778	  11.415406	 7.413072	  8.403673	  2 
2018	 3	  8	 12.448462	  11.254734	 9.455920	  11.415406	  2 
2018	 4	  9	 9.638212	  7.255030	 22.192663	  11.254734	  2 
2018	 5	  8	 5.633007	  2.849860	 15.889969	  7.255030	  2 
2018	 6	  7	 2.699469	  0.000000	 20.262531	  2.849860	  2 
2018	 7	  6	 3.639896	  0.000000	 14.948741	  0.000000	  2 
2018	 8	  5	 1.608124	  0.000000	 17.344746	  0.000000	  2 
2018	 9	  4	 0.363486	  0.659998	 4.531631	  0.000000	  2 
2018	 10	  3	 2.798354	  1.725388	 0.756671	  0.659998	  2 
2018	 11	  2	 5.117982	  2.995392	 -0.593228	  1.725388	  2 
2019	 0	  3	 5.710035	  5.124884	 -0.381326	  2.995392	  2 
2019	 1	  4	 11.969980	  9.380516	 1.450344	  5.124884	  2 
2019	 2	  5	 12.679364	  8.603587	 11.911009	  9.380516	  2 
2019	 3	  6	 12.749693	  8.383071	 10.479027	  8.603587	  2 
2019	 4	  7	 9.658835	  5.388698	 19.412062	  8.383071	  2 
2019	 5	  6	 6.216811	  1.888821	 22.819859	  5.388698	  2 
2019	 6	  5	 5.967386	  0.000000	 20.067007	  1.888821	  2 
2019	 7	  4	 1.078708	  0.000000	 21.514532	  0.000000	  2 
2019	 8	  3	 1.777935	  0.000000	 9.864303	  0.000000	  2 
2019	 9	  2	 0.951125	  1.911326	 5.461568	  0.000000	  2 
2019	 10	  1	 2.111919	  4.259779	 7.215129	  1.911326	  1 
2019	 11	  2	 5.881792	  8.372673	 1.015314	  4.259779	  1 
2020	 0	  3	 9.248794	  9.998916	 -1.404065	  8.372673	  2 
2020	 1	  4	 11.501708	  13.841885	 1.014777	  9.998916	  2 
2020	 2	  5	 13.439444	  15.288130	 9.171104	  13.841885	  2 
2020	 3	  6	 10.658855	  13.672340	 12.681219	  15.288130	  2 
2020	 4	  7	 11.923153	  10.672471	 22.859549	  13.672340	  2 
2020	 5	  8	 9.077164	  7.228083	 16.817623	  10.672471	  2 
2020	 6	  7	 4.174899	  3.228269	 22.300072	  7.228083	  2 
2020	 7	  6	 0.881597	  0.000000	 19.185593	  3.228269	  2 
2020	 8	  5	 0.000000	  0.000000	 16.053568	  0.000000	  2 
2020	 9	  4	 0.000000	  0.054209	 6.535717	  0.000000	  2 
2020	 10	  3	 0.862297	  0.000000	 -1.328594	  0.054209	  3 
2020	 11	  2	 4.113092	  1.392676	 -0.105358	  0.000000	  3 
2021	 0	  1	 9.180130	  1.021581	 -4.403542	  1.392676	  2 
2021	 1	  2	 8.746942	  2.352444	 -2.265951	  1.021581	  2 
2021	 2	  3	 12.837456	  7.252514	 7.073612	  2.352444	  2 
2021	 3	  4	 13.535571	  5.767045	 18.261896	  7.252514	  2 
2021	 4	  5	 9.775393	  3.770504	 19.906134	  5.767045	  2 
2021	 5	  4	 7.027569	  1.270561	 23.507742	  3.770504	  2 
2021	 6	  3	 3.376132	  0.000000	 18.445404	  1.270561	  2 
2021	 7	  2	 0.735011	  0.000000	 18.795506	  0.000000	  2 
2021	 8	  1	 1.133039	  0.853065	 9.013431	  0.000000	  1 
2021	 9	  0	 1.378327	  3.896110	 2.962844	  0.853065	  1 
2021	 10	  1	 2.737644	  5.347624	 -1.588940	  3.896110	  0 
2021	 11	  2	 6.247503	  5.137090	 -5.459957	  5.347624	  0 
